id;title;date;
225;Рейдери у селі Кути Семенівського району Чернігівській області, захопили більше 2 тисяч га з врожаєм. (Відео);2021-10-08 06:06:02;
226;В Ніжині з’явився світло-музичний фонтан (фотозвіт від мера);2021-10-08 06:33:59;
227;Пішов із життя Антон Поляков, народний депутат України. Чи була його смерть природньою?;2021-10-08 07:48:36;
228;Директор школи подав на Кабмін у суд через обов'язкову вакцинацію вчителів;2021-10-08 09:56:22;
229;Батьківський комітет звернувся до мера Чернігова. Діти мерзнуть в дітсадку без опалення. Мер пропонує закривати дітсадок(фото, відео);2021-10-09 06:58:11;
230;В Ніжині з’явилися громадські загальнодоступні станції для ремонту велосіпедів (фотозвіт);2021-10-09 06:33:30;
231;Розмножуємо виноград методом живця, та що для цього слід зробити восени;2021-10-09 06:47:40;
232;У Борзні будують нову свердловину для забору питної води;2021-10-09 08:20:03;
233;Петиція про кримінальну відповідальність за примусову вакцинацію набрала необхідні голоси;2021-10-09 10:35:31;
234;Ракетомоделісти з Ніжина посіли призові місця на Чемпіонаті світу;2021-10-10 07:10:44;
235;У Сновську збирають підписи щоб відновити дорогу;2021-10-10 07:31:37;
236;Економія опалення на знаннях учнів. В Прилуцьких школах канікули на 4 дні довші.;2021-10-10 08:55:16;
237;Інтерв’ю Руслана Коцаби з Народним депутатом України Олександром Качним про коронавірусний психоз, локдауни і законопроект 4142 (відео);2021-10-10 08:28:06;
238;Олімпійський чемпіон, легкоатлет Сергій Бубка в Чернігові;2021-10-11 05:34:24;
239;Змагання з легкоатлетичного кросу в Прилуках;2021-10-11 05:58:39;
240;Управління фітосанітарної безпеки підсумки роботи за 9 місяців - отримано 3 нотифікації;2021-10-11 06:11:10;
241;Мер Чернігова зустрівся з батьками дітей садочка №66. Що робиться для увімкнення там опалення?;2021-10-11 06:21:22;
242;Опалювальний сезон розпочався в Чернігові. Декілька бюджетних установ без опалення;2021-10-12 05:25:28;
243;Електронні лікарняні - роз’яснення МОЗ для паціентів;2021-10-12 05:48:47;
244;Зареєструйте право власності на землю, або вона стане комунальною власністю;2021-10-12 06:12:36;
245;Допомога з державного бюджету  на придбання житла для дітей-сиріт з Прилук;2021-10-12 06:32:20;
246;В Чернігові зник семикласник;2021-10-12 07:28:26;
247;Чернігівщина реалізувала власних продуктів на 10 млрд. гривень;2021-10-12 10:22:44;
248;Прилуцьку виховну колонію хочуть продати за 100 млн гривень;2021-10-13 05:25:08;
249;Порушення карантину фіксуватимуть спецкамери...;2021-10-13 04:52:02;
250;100 днів продажу землі, які результати на Чернігівщині;2021-10-13 06:17:52;
251;Чемпіонат Европи з САМБО наші на п’єдесталі;2021-10-13 06:45:31;
252;В Ніжині вчора почали демонтаж Літньої естради (фотозвіт);2021-10-13 08:35:53;
253;Міжобласні перевезення нещеплених українців без ПЛР-тесту заборонено Кабміном;2021-10-13 14:03:02;
254;Зниклого чернігівського семикласника знайшли в Івано-Франківську;2021-10-13 18:30:44;
255;У Новгород-Сіверському розпочали програму «Впливай на бюджет своєї громади»;2021-10-14 05:08:51;
256;У Борзні проводять вечірні рейди по виявленню правопорушень серед дітей;2021-10-14 05:25:23;
257;У Сосниці облагороджують парк Парк Пам’яті (фотозвіт);2021-10-14 05:44:09;
258;Українські аграрії лишились без нової сільхоз техніки;2021-10-14 06:15:18;
259;Белорусский контроль качества;;
260;Профспілка освітян м. Києва вимагає від КабМіну, МОЗ та Міносвіти не допустити порушення прав невакцинованих праціників;2021-10-14 15:21:25;
261;Директор Київської школи №210 Дмитро Ламза подав вже другий позов в суд проти КабМінУ;2021-10-14 15:15:28;
262;В Чернігові відкрили пам’ятник Захисникам України;2021-10-14 16:51:50;
263;Найдешевша на Чернігівщині сільгоспділянка коштувала всього 630 грн;2021-10-15 05:23:33;
264;"Носівка отримала новий авто ""швидкої""";2021-10-15 05:22:58;
265;В Семенівці триває битва за врожай (відео);2021-10-15 06:36:10;
266;Чернігів стає більш безпечним;2021-10-15 08:25:44;
267;З п’яти цукрових заводів на Чернігівщині залишився лише один;2021-10-15 08:56:02;
268;Приват Банк встановив ліміт на перекази з картки на карту.;2021-10-16 06:41:53;
269;Сільські бібліотеки Новгород-Сіверської териториальної громади отримали комп’ютери;2021-10-16 07:12:31;
270;На території Ніжинської школи №15 з'явилася траса для занять картингом;2021-10-16 07:43:23;
271;Змагання з футболу “Кубок Смолянки” в Комарівці Борзнянського району (фотозвіт);2021-10-16 14:37:25;
272;В Черниговской области появился новый комплекс фиксации нарушений ПДД;2021-10-16 15:03:41;
273;"""Колорит"""" з Варви - лауреати Міжнародного Фестивалю - конкурсу ""Kyiv art Fest""";2021-10-17 06:12:07;
274;Пестициди, якими обробляють поля - впливають на розвиток онкозахворювань;2021-10-17 06:28:51;
275;У срібному відкрито краєзнавчий музей;;
276;В Чернігові тарифи на опалення підіймати не будууть;2021-10-18 05:25:33;
277;Інвентарізація земель - Ріпкінська громада згодна прийняти ліс у комунальну власність;2021-10-18 06:13:59;
278;"12 жовтня у рамках кампанії ""Створюємо ліси разом!"" висаджено 10 285 сіянців лісових культур у Любецькому лісництві";2021-10-18 06:32:49;
279;Корюковская фабрика «Славянские обои – КФТБ»  снизила  уровень производства на 7,1%;2021-10-18 08:11:51;
280;Чернігівська «Юність» вдало обіграла у футбол своїх однолітків з Києва;2021-10-18 11:58:27;
281;За вирубку лісу на Чернігівщині судитимуть посадовців;2021-10-18 13:34:26;
282;Вчора 18.10 в Новгород-Сіверському обговорювали стратегію розвитку громади на 8 років.;2021-10-19 04:55:25;
283;Розіграш Суперкубку Борзнянської футбольної ліги 2021 рокув с. Кинашівка;2021-10-19 05:05:36;
284;Колективи Ніжинської хореографічної школи стали учаниками фестивалю «STARS OF TURKEY» в Анталії;2021-10-19 05:51:59;
285;В Ніжині є нічні маршрутки;2021-10-19 06:17:18;
286;В Чернігові рятувальники ліквідували загоряння вантажного автомобіля;2021-10-19 11:47:06;
287;Наталія Чистякова з Ніжина — чемпіонка світу з самбо;2021-10-19 11:37:54;
288;Ніжинтеплокомуненерго хоче, але не може;2021-10-20 04:24:09;
289;В Чернігові з’явиться новий сквер;2021-10-20 05:06:53;
290;Гаряча тема: ПІДВИЩЕННЯ ТАРИФІВ НА ОПАЛЕННЯ;2021-10-20 05:18:41;
291;Після нового року у громадському транспорті Чернігова почнуть впроваджувати електронний квиток;2021-10-20 08:12:37;
292;Завтра почнуть діяти нові правила пасажирських перевезень у регіонах із різними рівнями епіднебезпеки;2021-10-20 08:30:29;
293;В Ніжині з’являться цікаві інсталяції;2021-10-20 09:45:56;
294;У Прилуках відбулась зустріч з Уповноваженою Верховної Ради України з прав людини в Чернігівській області;2021-10-20 13:58:28;
295;У Ніжині цікавий івент: читатимуть Гоголя протягом доби;2021-10-21 04:55:06;
296;У дворі чернігівської ОДА хочуть побудувати житловий будинок;2021-10-21 05:22:24;
297;В Чернигове выращивают креветки (видео);2021-10-21 07:41:45;
298;Первый день ограничений Киевский автовокзал потерял 40% рейсов, проверки в Чернигове;2021-10-21 12:44:25;
299;Підприємці центрального ринку вирішували як працювати в локдаун (відео);2021-10-21 18:57:22;
300;В Нежине нашли деньги на отопление;2021-10-22 05:30:05;
301;В Чернигове презентовали «Серебряные оклады Евангелий XVII-XIX веков»;2021-10-22 07:35:09;
302;Чернігів відвідав Предстоятель Православної Церкви України, Блаженнійший Митрополит Епіфаній;2021-10-22 07:50:57;
303;95 свердловин для забезпечення жителів області якісною питною водою заплановано будувати на Чернігівщині;2021-10-22 13:43:52;
304;Новий потяг Варварівський - Гребінка запускають на Чернігівщині;2021-10-22 14:26:53;
305;В Ніжині відбувся міжнародний інвестиційний форум;2021-10-23 07:09:46;
306;Вперше за 50 років ремонтується дорога на ділянці Макиївка-Новий Биків на Чернігівщині;2021-10-23 09:26:03;
307;Поблизу села Хотинівка Ніжинського району браконьєри підстрелили фермера;2021-10-23 12:31:20;
308;60 дерев висадили по вул. Мстиславська в Чернігові;2021-10-24 07:36:19;
309;На дорозі Чернігів - Славутич готуються до капремонту 3 мостів;2021-10-24 07:44:13;
310;У Прилуках в бібліотеці ім. Л.Забашти презентували новий роман Олени Печорної;2021-10-24 10:03:33;
311;"Наявність сертифікату або ПЛР-тест у продавців та відвідувачів - умови для роботи ринку в ""червоній зоні""";2021-10-24 10:29:04;
312;У Борзнянському районі провели леогкотлетичні змагання «Олімпійські сходинки» (фотозвіт);2021-10-25 06:39:46;
313;Два нові ландшафтні заказники з’явилися на Чернігівщині;2021-10-25 07:58:26;
314;Недалеко от Смолина в Черниговском районе разрабатывают новое месторождение торфа;2021-10-25 13:45:13;
315;Розрахунок прожиткового мінімуму в Україні змінять.;2021-10-26 05:46:10;
316;Тариф на доставку газа может поднятся в 3 раза;2021-10-26 06:16:29;
317;У Семенівці продовжується битва за врожай;2021-10-26 12:45:17;
318;Чернігівщина рухається до безбар’єрності;2021-10-26 15:57:57;
319;Режим економії опалення хочуть запровадити у Чернігівських школах;2021-10-27 06:25:02;
320;Мешканець ніжинського району став жертвою кібер-злочинців;2021-10-27 06:54:35;
321;Вирішується доля Ніжинської районнної лікарні;2021-10-27 07:11:25;
322;У Качанівці альтанку Глібова рятують від руйнування;2021-10-27 10:45:54;
323;"Черниговская область в ""красной зоне"" как будет работать система образования";2021-10-27 15:44:05;
324;Як працюватиме громадський транспорт Чернігова у період карантину;2021-10-27 20:02:06;
